,Frec,Probabilidad
a,912,12.068281063914252
b,68,0.899827974063782
c,408,5.398967844382692
d,431,5.703321423845441
e,1035,13.695911075823739
f,42,0.55577610162763
g,75,0.9924573243350536
h,42,0.55577610162763
i,624,8.257244938467647
j,37,0.4896122800052931
k,0,0.0
l,377,4.988752150324203
m,225,2.9773719730051607
n,550,7.278020378457059
ñ,9,0.11909487892020643
o,686,9.077676326584623
p,223,2.9509064443562263
r,488,6.457588990340082
s,529,7.000132327643245
t,347,4.591769220590181
u,282,3.7316395394998016
v,70,0.9262935027127167
w,0,0.0
x,28,0.3705174010850867
y,47,0.6219399232499669
z,22,0.2911208151382824
